香港,#genre#
港台电视31,https://rthktv31-live.akamaized.net/hls/live/2036818/RTHKTV31/stream5/streamPlaylist.m3u8
港台电视32,https://rthktv32-live.akamaized.net/hls/live/2036819/RTHKTV32/stream5/streamPlaylist.m3u8
港台电视33,https://rthktv33-live.akamaized.net/hls/live/2101641/RTHKTV33/stream03/streamPlaylist.m3u8
港台电视34,https://rthktv34-live.akamaized.net/hls/live/2101642/RTHKTV34/stream02/streamPlaylist.m3u8
港台电视35,https://rthktv35-live.akamaized.net/hls/live/2101643/RTHKTV35/stream02/streamPlaylist.m3u8
星空卫视,http://yuju666888.x3322.net:808/hls/110/index.m3u8
香港卫视文旅,http://ali-play.lezhibo.com/lezhibo/6ad788f1bbab4c689ecdc0d64a1e1601.m3u8
香港卫视,http://zhibo.hkstv.tv/livestream/mutfysrq/playlist.m3u8
凤凰资讯,http://61.221.215.25:8800/hls/47/index.m3u8
凤凰卫视,http://1.62.64.252/1.v.smtcdns.net/qctv.fengshows.cn/live/0701pin72.flv
凤凰香港,http://1.62.64.252/1.v.smtcdns.net/qctv.fengshows.cn/live/0701phk72.flv
凤凰资讯,http://play-flive.ifeng.com/live/06OLEEWQKN4.m3u8
凤凰中文,http://play-flive.ifeng.com/live/06OLEGEGM4G.m3u8

澳门,#genre#
澳视澳门,http://61.244.22.5/ch1/ch1.live/index.m3u8
澳视葡文,http://61.244.22.5/ch2/ch2.live/index.m3u8
澳视葡文,http://61.244.22.5/ch2/ch2.live/chunklist_w1632175875.m3u8
澳门Macau,http://61.244.22.5/ch3/ch3.live/index.m3u8
澳门体育,http://61.244.22.5/ch4/sport_ch4.live/index.m3u8
澳门资讯,http://61.244.22.5/ch5/info_ch5.live/index.m3u8
澳门综艺,http://61.244.22.5/ch6/hd_ch6.live/index.m3u8
澳亚卫视,https://live.mastvnet.com/lsdream/lY44pmm/2000/live.m3u8
澳门莲花,http://moss.hk3.345888.xyz.cdn.cloudflare.net/11/lotus.php

台湾,#genre#
华视,rtmp://f13h.mine.nu/sat/tv111
中视,rtmp://f13h.mine.nu/sat/tv091
台视,rtmp://f13h.mine.nu/sat/tv071
民视,rtmp://f13h.mine.nu/sat/tv051
纬來日本,rtmp://f13h.mine.nu/sat/tv771
纬来育乐,rtmp://f13h.mine.nu/sat/tv701
纬来体育,rtmp://f13h.mine.nu/sat/tv721
纬来体育,http://hls.szsummer.cn/live/446035/playlist.m3u8?k=32f9ec7c13e4b390289143a8e1b2a898&t=1840341130
东森超视,rtmp://f13h.mine.nu/sat/tv331
MoMo综合,rtmp://f13h.mine.nu/sat/tv761
ELEVEN体育1,rtmp://f13h.mine.nu/sat/tv731
ELEVEN体育2,rtmp://f13h.mine.nu/sat/tv741
ELEVEN体育3,rtmp://f13h.mine.nu/sat/tv751
八大戏剧,http://61.221.215.25:8800/hls/39/index.m3u8
三立戏剧,http://61.221.215.25:8800/hls/41/index.m3u8
AMC电影台,http://61.221.215.25:8800/hls/43/index.m3u8

纬来精彩,http://61.221.215.25:8800/hls/48/index.m3u8
探索亚洲,http://61.221.215.25:8800/hls/50/index.m3u8
八大第一,http://61.221.215.25:8800/hls/55/index.m3u8
动物星球,http://61.221.215.25:8800/hls/57/index.m3u8
八大综合,http://61.221.215.25:8800/hls/56/index.m3u8

八大综合,http://mywlkj.ddns.net:754/tv/tw3.php?id=14
tbvs频道,http://mywlkj.ddns.net:754/tv/tw3.php?id=3
八大戏剧,http://mywlkj.ddns.net:754/tv/tw3.php?id=4
三立戏剧,http://mywlkj.ddns.net:754/tv/tw3.php?id=6
AMC电影,http://mywlkj.ddns.net:754/tv/tw3.php?id=7
纬来精彩,http://mywlkj.ddns.net:754/tv/tw3.php?id=9
八大一台,http://mywlkj.ddns.net:754/tv/tw3.php?id=13
野生频道,http://mywlkj.ddns.net:754/tv/tw3.php?id=15
番薯音乐,http://61.216.67.119:1935/TWHG/E1/chunklist_w705811302.m3u8
世新综合,http://61.58.60.230:9319/live/49.m3u8
tvbs新闻,http://38.64.72.148/hls/modn/list/4006/chunklist1.m3u8
东森美洲,http://38.64.72.148/hls/modn/list/2016/chunklist0.m3u8
东森美洲卫视,http://38.64.72.148:80/hls/modn/list/2015/chunklist0.m3u8
天映经典,http://185.243.7.154/play/live.php?mac=00:1A:79:21:A3:33&stream=571182&extension=ts&play_token=uKjIerz90i
中天亚洲,http://185.243.7.154/play/live.php?mac=00:1A:79:21:A3:33&stream=571212&extension=ts
东森超视34.5,http://38.64.72.148:80/hls/modn/list/2013/chunklist1.m3u8
台视新闻,http://38.64.72.148:80/hls/modn/list/4013/chunklist0.m3u8
民视新闻,http://38.64.72.148:80/hls/modn/list/4012/chunklist1.m3u8
唯心电视,https://mobile.ccdntech.com/transcoder/_definst_/vod164_Live/live/chunklist_w1177047531.m3u8
TVBS亚洲,http://38.64.72.148:80/hls/modn/list/4005/chunklist0.m3u8
好消息,http://live-350k.streamingfast.net/hls-live/goodtv/_definst_/liveevent/live-ch1-1.m3u8
好消息2,http://live-350k.streamingfast.net/hls-live/goodtv/_definst_/liveevent/live-ch2-1.m3u8
东森美洲新闻,http://udnhls.skilldns.com:80/dsxw.m3u8
东森美洲中国,http://38.64.72.148/hls/modn/list/2003/chunklist0.m3u8
环球电视,http://zb.xzxwhcb.com:9999/hls/world.m3u8
大爱一台,https://pulltv2.wanfudaluye.com/live/tv1.m3u8
大爱二台,https://pulltv1.wanfudaluye.com/live/tv2.m3u8
人间卫视,http://61.216.67.119:1935/bltvhd/bltv1/chunklist_w1266569526.m3u8
国会1,http://61.58.60.230:9319/live/123.m3u8
国会2,http://61.58.60.230:9319/live/124.m3u8
中视,http://223.71.206.22:30080/TW/zs/hls.m3u8
TVBS新闻,http://livetv.skycf.eu.org/live.m3u8?c=5
中視新闻,http://livetv.skycf.eu.org/live.m3u8?c=6
中天新闻,http://livetv.skycf.eu.org/live.m3u8?c=7
公視,http://livetv.skycf.eu.org/live.m3u8?c=8
东森新闻,http://livetv.skycf.eu.org/live.m3u8?c=9
镜新闻,http://livetv.skycf.eu.org/live.m3u8?c=10
民視新闻,http://livetv.skycf.eu.org/live.m3u8?c=11
三立新闻,http://livetv.skycf.eu.org/live.m3u8?c=12
华視新闻,http://livetv.skycf.eu.org/live.m3u8?c=13
东森财经新闻,http://livetv.skycf.eu.org/live.m3u8?c=14
公视,http://livetv.skycf.eu.org/live.m3u8?c=8
镜新闻,http://livetv.skycf.eu.org/live.m3u8?c=10
东森新闻,http://livetv.skycf.eu.org/live.m3u8?c=9
华视新闻,http://livetv.skycf.eu.org/live.m3u8?c=13
面包台,https://video.bread-tv.com:8091/hls-live24/online/index.m3u8
GOOD卡通,https://dqhxk7sbp7xog.cloudfront.net/osmflivech45.m3u8
纬来体育,https://cloud.yumixiu768.com/tmp/123.m3u8

广西玉林市酒店电信,#genre#
东南卫视,http://222.217.243.135:8181/tsfile/live/0137_1.m3u8
CCTV14-少儿,http://222.217.243.135:8181/tsfile/live/0014_1.m3u8
CCTV13-新闻,http://222.217.243.135:8181/tsfile/live/0013_1.m3u8
贵州卫视,http://222.217.243.135:8181/tsfile/live/0120_1.m3u8
湖北卫视,http://222.217.243.135:8181/tsfile/live/0132_1.m3u8
中国教育-1,http://222.217.243.135:8181/tsfile/live/1005_1.m3u8
CCTV4-国际,http://222.217.243.135:8181/tsfile/live/0004_1.m3u8
深圳卫视,http://222.217.243.135:8181/tsfile/live/0126_1.m3u8
嘉佳卡通,http://222.217.243.135:8181/tsfile/live/1013_1.m3u8
凤凰中文,http://222.217.243.135:8181/tsfile/live/1014_1.m3u8
凤凰资讯,http://222.217.243.135:8181/tsfile/live/1015_1.m3u8
炫动卡通,http://222.217.243.135:8181/tsfile/live/1016_1.m3u8
上海卫视,http://222.217.243.135:8181/tsfile/live/0107_1.m3u8
北京卫视,http://222.217.243.135:8181/tsfile/live/0122_1.m3u8
安徽卫视,http://222.217.243.135:8181/tsfile/live/0130_1.m3u8
