各省频道,#genre#
内蒙古卫视,https://livestream-bt.nmtv.cn/nmtv/2314general.m3u8?txSecret=dc348a27bd36fe1bd63562af5e7269ea&txTime=771EF880
内蒙古蒙古语卫视,https://livestream-bt.nmtv.cn/nmtv/2315general.m3u8?txSecret=e2b255285dd119a92c8aa5cdf00f8b84&txTime=771EF880
新闻综合,https://livestream-bt.nmtv.cn/nmtv/2316general.m3u8?txSecret=173f71025a2de64458989cfb281a0a37&txTime=771E8800
经济生活,https://livestream-bt.nmtv.cn/nmtv/2317general.m3u8?txSecret=8e4b7cf6a2c8a75f74aef1a8a07cef43&txTime=771E8800
少儿频道,https://livestream-bt.nmtv.cn/nmtv/2318general.m3u8?txSecret=ff5a1fd70ea228ee35b0d29895f37c56&txTime=771E8800
文体娱乐,https://livestream-bt.nmtv.cn/nmtv/2319general.m3u8?txSecret=82ed51a2a4cbf85b62fec8ef2bfe4529&txTime=771E8800
农牧频道,https://livestream-bt.nmtv.cn/nmtv/2320general.m3u8?txSecret=b5e44fcd9473993661f17746112ad1b7&txTime=771E8800
内蒙古蒙古语文化,https://livestream-bt.nmtv.cn/nmtv/2321general.m3u8?txSecret=2250268a1d326dbbc4cbf0ba32649ca5&txTime=771E8800
深圳都市,http://livepull-tcyzb.sztv.com.cn/live/dushi01.m3u8
深圳众创,https://lglivepull.sznews.com/live/2645.m3u8
深圳龙岗,https://lglivepull.sznews.com/live/2647.m3u8
深圳东部,https://lglivepull.sznews.com/live/2646.m3u8
番禺电视台,http://video.epaper.pybtv.cn:8080/live/rtmp_live_demo.flv
增城电视台,http://pl1.cloud.dayang.com.cn/live/10062_E5i2s6.m3u8
山东卫视,http://livealone.iqilu.com/iqilu/sdtvhjOF03kn.m3u8
山东齐鲁,http://livealone.iqilu.com/iqilu/qlpdhjOF03kn.m3u8
山东文旅,http://livealone.iqilu.com/iqilu/yspdhjOF03kn.m3u8
山东综艺,http://livealone.iqilu.com/iqilu/zypdhjOF03kn.m3u8
山东生活,http://livealone.iqilu.com/iqilu/shpdhjOF03kn.m3u8
山东新闻,http://livealone.iqilu.com/iqilu/ggpdhjOF03kn.m3u8
山东农科,http://livealone.iqilu.com/iqilu/nkpdhjOF03kn.m3u8
山东体育休闲,http://livealone.iqilu.com/iqilu/typdhjOF03kn.m3u8
山东少儿,http://livealone.iqilu.com/iqilu/sepdhjOF03kn.m3u8
浙江卫视HD,https://ali-m-l.cztv.com/channels/lantian/channel001/1080p.m3u8
浙江钱江都市,https://ali-m-l.cztv.com/channels/lantian/channel002/1080p.m3u8
浙江经济生活,https://ali-m-l.cztv.com/channels/lantian/channel003/1080p.m3u8
浙江科教影视,https://ali-m-l.cztv.com/channels/lantian/channel004/1080p.m3u8
浙江民生休闲,https://ali-m-l.cztv.com/channels/lantian/channel006/1080p.m3u8
浙江新闻,https://ali-m-l.cztv.com/channels/lantian/channel007/1080p.m3u8
浙江少儿,https://ali-m-l.cztv.com/channels/lantian/channel008/1080p.m3u8
浙江国际,https://ali-m-l.cztv.com/channels/lantian/channel010/1080p.m3u8
好易购,https://ali-m-l.cztv.com/channels/lantian/channel011/1080p.m3u8
浙江之江记录,https://ali-m-l.cztv.com/channels/lantian/channel012/1080p.m3u8
浙江卫视HD,https://ali-m-l.cztv.com/channels/lantian/channel001/720p.m3u8
浙江钱江都市,https://ali-m-l.cztv.com/channels/lantian/channel002/720p.m3u8
浙江经济生活,https://ali-m-l.cztv.com/channels/lantian/channel003/720p.m3u8
浙江科教影视,https://ali-m-l.cztv.com/channels/lantian/channel004/720p.m3u8
浙江民生休闲,https://ali-m-l.cztv.com/channels/lantian/channel006/720p.m3u8
浙江新闻,https://ali-m-l.cztv.com/channels/lantian/channel007/720p.m3u8
浙江少儿,https://ali-m-l.cztv.com/channels/lantian/channel008/720p.m3u8
浙江国际,https://ali-m-l.cztv.com/channels/lantian/channel010/720p.m3u8
好易购,https://ali-m-l.cztv.com/channels/lantian/channel011/720p.m3u8
浙江之江记录,https://ali-m-l.cztv.com/channels/lantian/channel012/720p.m3u8
浙江卫视,https://ali-m-l.cztv.com/channels/lantian/channel001/360p.m3u8
浙江钱江都市,https://ali-m-l.cztv.com/channels/lantian/channel002/360p.m3u8
浙江经济生活,https://ali-m-l.cztv.com/channels/lantian/channel003/360p.m3u8
浙江科教影视,https://ali-m-l.cztv.com/channels/lantian/channel004/360p.m3u8
浙江民生休闲,https://ali-m-l.cztv.com/channels/lantian/channel006/360p.m3u8
浙江新闻,https://ali-m-l.cztv.com/channels/lantian/channel007/360p.m3u8
浙江少儿,https://ali-m-l.cztv.com/channels/lantian/channel008/360p.m3u8
